01  (64,92)  (16,139)  (16,91)  (111,140)  (64,44)  (112,44)  (112,92)  (14,43)  (63,187)  (15,187)  (159,140)  (159,188)  (111,188)  (160,0)  (160,48)  | overflowToLeft=false
79  (4069,345)  (4021,392)  (4021,344)  (4116,393)  (4069,297)  (4117,303)  (4019,296)  (4003,248)  | overflowToLeft=false
Pax Julia  (148,1037)  (100,1084)  (100,1036)  (195,1085)  (196,1022)  (52,1075)  (52,1027)  | overflowToLeft=false
Babylon  (4944,1802)  (4896,1805)  (4991,1850)  (4901,1754)  (4949,1754)  (4992,1802)  (4943,1853)  (4997,1749)  (5039,1850)  (5040,1797)  (5002,1701)  (5055,1898)  | overflowToLeft=false
Antioch  (4170,1208)  (4122,1255)  (4122,1207)  (4217,1256)  (4170,1160)  (4218,1160)  (4218,1208)  (4120,1159)  (4169,1303)  (4265,1256)  (4235,1304)  (4168,1112)  (4216,1112)  (4264,1112)  (4266,1160)  (4266,1208)  (4154,1064)  (4202,1064)  (4250,1064)  | overflowToLeft=false
Theodesia  (3753,234)  (3705,253)  (3705,205)  (3769,282)  (3801,217)  (3696,157)  (3657,252)  (3648,148)  (3858,208)  (3696,109)  | overflowToLeft=false
80  (3895,302)  (3847,349)  (3847,301)  (3942,350)  (3895,254)  (3943,254)  (3943,302)  (3799,376)  | overflowToLeft=false
Seleucia  (4836,1578)  (4788,1601)  (4788,1553)  (4883,1626)  (4836,1530)  (4884,1537)  (4762,1505)  (4740,1578)  (4931,1595)  (4931,1643)  (4883,1674)  (4714,1530)  (4714,1482)  (4762,1457)  (4696,1434)  | overflowToLeft=false
81  (3880,120)  (3832,156)  (3888,72)  (3936,64)  (3784,159)  | overflowToLeft=false
82  (5248,183)  (5200,230)  (5200,182)  (5288,231)  (5248,135)  (5296,135)  (5296,183)  (5152,262)  (5152,214)  (5253,87)  (5344,103)  (5344,151)  (5344,199)  (5104,262)  | overflowToLeft=false
83  (5142,381)  (5094,428)  (5094,380)  (5189,429)  (5142,333)  (5190,333)  (5190,381)  (5092,332)  (5141,476)  (5093,476)  (5046,428)  (5046,380)  (5237,429)  (5045,476)  (5238,300)  (5238,348)  (5044,332)  (4998,423)  (4996,375)  (4996,327)  | overflowToLeft=false
84  (5239,578)  (5191,625)  (5191,577)  (5286,626)  (5239,530)  (5287,530)  (5287,578)  (5189,529)  (5238,673)  (5190,673)  (5143,625)  (5143,577)  (5334,626)  (5334,674)  (5286,674)  (5142,674)  (5335,525)  (5335,573)  (5141,529)  (5095,578)  (5093,530)  | overflowToLeft=false
Hermopolis  (3480,2024)  (3432,2052)  (3432,2004)  (3528,1986)  (3528,2034)  (3384,2052)  (3336,2052)  (3576,2050)  | overflowToLeft=false
Dodona  (2943,980)  (2895,1022)  (2934,932)  (2982,932)  (2991,980)  (2943,1028)  (2978,884)  (2886,974)  | overflowToLeft=false
85  (5325,836)  (5277,883)  (5277,811)  (5352,884)  (5325,788)  (5251,763)  (5203,786)  | overflowToLeft=false
86  (5322,1074)  (5274,1121)  (5274,1073)  (5352,1122)  (5322,1026)  (5272,1025)  (5352,1170)  (5320,978)  | overflowToLeft=false
87  (5152,1986)  (5104,2023)  (5104,1975)  (5199,2034)  (5200,1957)  (5107,1927)  (5056,1984)  (5247,2044)  | overflowToLeft=false
88  (3795,2022)  (3766,1974)  (3741,1926)  | overflowToLeft=false
Armavira  (4722,426)  (4674,473)  (4674,425)  (4769,474)  (4722,378)  (4770,378)  (4672,377)  (4721,521)  (4673,521)  (4770,522)  (4625,522)  (4720,330)  (4768,330)  (4624,413)  (4624,365)  (4672,329)  (4612,317)  (4564,349)  (4564,301)  (4548,253)  (4516,332)  | overflowToLeft=false
Gazaca  (4857,1076)  (4809,1119)  (4809,1071)  (4904,1124)  (4857,1028)  (4905,1028)  (4905,1076)  (4803,1023)  (4838,1167)  (4952,1124)  (4851,980)  (4899,980)  (4947,980)  (4953,1028)  (4953,1076)  (4755,1010)  (4803,975)  (4742,962)  (5001,1015)  (5001,1063)  (4694,937)  (4742,914)  (4683,889)  (4661,841)  (4637,793)  (4641,745)  | overflowToLeft=false
Tibiscum  (2938,236)  (2890,280)  (2890,232)  (2986,216)  (2986,264)  (2842,268)  (3034,214)  (3034,262)  (3082,216)  (3082,264)  (3130,214)  | overflowToLeft=false
Ninive  (4756,1278)  (4708,1259)  (4803,1326)  (4755,1326)  (4756,1230)  (4804,1230)  (4804,1278)  (4690,1211)  (4851,1326)  (4851,1374)  (4803,1374)  (4738,1182)  (4852,1268)  (4671,1163)  (4899,1339)  (4899,1387)  (4851,1422)  (4719,1134)  (4628,1115)  | overflowToLeft=false
Arretium  (2050,681)  (2002,660)  (2097,729)  (2049,729)  (2050,633)  (2098,681)  (1980,612)  (1932,595)  | overflowToLeft=false
Nexuana  (4890,801)  (4842,848)  (4842,800)  (4937,849)  (4890,753)  (4938,753)  (4938,801)  (4840,752)  (4889,896)  (4841,896)  (4794,848)  (4985,849)  (4985,897)  (4937,897)  (4888,705)  (4936,705)  (4986,798)  (4836,704)  (5033,871)  (4852,656)  | overflowToLeft=false
Stabula  (1617,32)  (1569,79)  (1569,31)  (1664,80)  (1665,0)  (1614,127)  (1566,127)  | overflowToLeft=false
Theveste  (1422,1757)  (1374,1796)  (1374,1748)  (1470,1729)  (1470,1777)  (1364,1700)  (1326,1796)  (1518,1728)  | overflowToLeft=false
Nemausus  (1518,362)  (1470,409)  (1470,361)  (1565,410)  (1518,314)  (1566,319)  (1468,313)  (1494,457)  (1613,367)  (1613,415)  (1420,323)  (1446,461)  | overflowToLeft=false
Cartenna  (880,1448)  (832,1495)  (832,1447)  (927,1496)  (880,1400)  (928,1400)  (928,1448)  (830,1399)  (879,1543)  (831,1543)  (784,1495)  (784,1447)  (975,1496)  (975,1544)  (927,1544)  (783,1544)  (918,1352)  (966,1352)  (976,1400)  (976,1448)  (782,1399)  (879,1591)  (831,1591)  (783,1592)  | overflowToLeft=false
Berenice  (2710,1974)  (2662,2021)  (2662,1973)  (2757,2022)  (2710,1926)  (2758,1926)  (2758,1974)  (2660,1925)  (2614,2052)  (2614,2004)  (2806,1901)  (2806,1949)  (2612,1956)  (2566,2052)  (2566,2004)  | overflowToLeft=false
Amida  (4575,948)  (4527,995)  (4527,947)  (4622,996)  (4575,900)  (4623,900)  (4623,948)  (4525,899)  (4574,1043)  (4479,1012)  (4479,964)  (4670,1011)  (4622,1044)  (4573,852)  (4492,851)  (4718,1052)  | overflowToLeft=false
Pompaelo  (718,497)  (670,526)  (670,478)  (766,468)  (766,516)  (622,547)  (622,499)  (814,470)  (814,518)  (574,564)  | overflowToLeft=false
Thapsus  (1801,1482)  (1753,1529)  (1753,1481)  (1838,1530)  (1801,1434)  (1849,1434)  (1849,1482)  (1790,1577)  (1742,1577)  (1705,1529)  (1705,1481)  (1897,1420)  (1694,1588)  (1798,1625)  (1750,1625)  (1702,1636)  (1794,1673)  | overflowToLeft=false
Ctesiphon  (4998,1464)  (4950,1511)  (4950,1463)  (5009,1512)  (4998,1416)  (5046,1416)  (5046,1464)  (4960,1368)  (5008,1368)  (5056,1368)  (5094,1416)  (5094,1464)  (5104,1340)  (4948,1320)  (4996,1320)  (5044,1320)  (5092,1292)  (4928,1272)  (4976,1272)  (5024,1272)  (4890,1224)  (4938,1224)  (4986,1224)  (5034,1224)  (5003,1176)  | overflowToLeft=false
Ariminum  (2133,620)  (2085,587)  (2169,668)  (2133,572)  (2181,583)  (2051,539)  (2217,631)  (2003,554)  | overflowToLeft=false
Veldidena  (2119,135)  (2071,178)  (2071,130)  (2166,183)  (2167,95)  (2023,179)  (2023,131)  (2214,143)  (2214,191)  (1975,147)  (2262,183)  (1927,130)  | overflowToLeft=false
Oea  (2259,1875)  (2211,1922)  (2211,1874)  (2306,1923)  (2259,1827)  (2307,1827)  (2307,1875)  (2209,1826)  (2258,1970)  (2210,1970)  (2330,1971)  (2257,1779)  (2355,1838)  (2208,1778)  (2282,2018)  (2234,2018)  (2186,2018)  (2256,1731)  | overflowToLeft=false
Athens  (3165,1182)  (3197,1230)  (3139,1134)  (3202,1136)  | overflowToLeft=false
Toletum  (706,818)  (658,865)  (658,817)  (753,866)  (706,770)  (754,775)  (656,769)  (610,871)  (610,823)  (801,823)  (608,775)  (560,780)  | overflowToLeft=false
Sanina  (5118,879)  (5165,927)  (5073,831)  (5121,831)  (5166,879)  (5213,927)  (5213,975)  (5040,783)  (5088,783)  (5136,783)  (5214,856)  (5202,1023)  (5014,735)  (5062,735)  (5110,735)  | overflowToLeft=false
Zama  (1483,1586)  (1435,1633)  (1435,1585)  (1530,1634)  (1483,1538)  (1531,1538)  (1531,1586)  (1433,1537)  (1482,1681)  (1387,1624)  (1578,1634)  (1541,1682)  (1481,1490)  (1529,1490)  (1577,1490)  (1579,1538)  (1579,1586)  (1432,1489)  (1625,1446)  (1626,1634)  (1491,1442)  (1539,1442)  (1627,1494)  (1627,1542)  | overflowToLeft=false
Tarentum  (2596,969)  (2548,992)  (2548,944)  (2643,1017)  (2644,955)  (2500,909)  (2691,1020)  (2716,1068)  | overflowToLeft=false
Satala  (4429,728)  (4381,775)  (4381,727)  (4476,776)  (4477,697)  (4428,823)  (4333,759)  (4333,711)  (4524,745)  (4285,703)  (4572,715)  (4572,763)  | overflowToLeft=false
Melitene  (4320,858)  (4272,888)  (4272,840)  (4367,906)  (4253,792)  (4319,936)  (4224,840)  (4415,891)  (4408,954)  (4205,792)  (4205,744)  (4360,984)  | overflowToLeft=false
Melita  (2100,1496)  | overflowToLeft=false
Philippopolis  (3127,711)  (3079,758)  (3079,710)  (3143,759)  (3175,673)  (3191,721)  (3031,726)  (3223,657)  | overflowToLeft=false
Salonae  (2692,636)  (2644,662)  (2644,614)  (2739,684)  (2692,588)  (2740,588)  (2740,636)  (2691,710)  (2787,684)  (2788,610)  | overflowToLeft=false
Sabrata  (2091,1742)  (2043,1789)  (2043,1741)  (2138,1790)  (2091,1694)  (2139,1694)  (2139,1742)  (2187,1699)  | overflowToLeft=false
Olbia  (3555,71)  (3507,118)  (3507,70)  (3555,23)  (3505,22)  (3457,40)  (3555,119)  (3603,85)  | overflowToLeft=false
Croton  (2548,1176)  (2500,1155)  (2578,1224)  (2530,1224)  (2487,1107)  (2527,1272)  (2535,1066)  (2491,1320)  | overflowToLeft=false
Salamis  (3828,1316)  (3780,1363)  (3780,1315)  (3843,1364)  (3876,1275)  | overflowToLeft=false
Cyropolis  (5145,1187)  (5097,1220)  (5097,1172)  (5192,1235)  (5145,1139)  (5193,1146)  (5081,1124)  (5240,1194)  (5240,1242)  (5129,1091)  (5177,1091)  (5067,1076)  (5288,1200)  (5288,1248)  (5115,1043)  (5062,1028)  (5336,1224)  (5336,1272)  (5110,995)  (5045,980)  (5093,947)  | overflowToLeft=false
Thamea  (4389,1995)  (4341,2042)  (4341,1994)  (4436,2043)  (4389,1947)  (4437,1947)  (4437,1995)  (4339,1946)  (4484,2043)  (4387,1899)  (4435,1899)  (4483,1899)  (4485,1947)  (4485,1995)  (4336,1898)  (4384,1851)  (4432,1851)  (4480,1851)  (4336,1838)  (4287,1803)  (4384,1803)  (4432,1803)  (4335,1790)  (4383,1755)  (4311,1742)  | overflowToLeft=false
Sardis  (3543,1041)  (3495,1088)  (3495,1040)  (3545,993)  (3591,1041)  (3593,991)  (3473,1136)  (3447,1088)  (3447,1040)  (3639,1039)  (3399,1066)  (3399,1018)  (3687,1006)  (3735,1002)  | overflowToLeft=false
Igilgili  (1198,1422)  (1150,1469)  (1150,1421)  (1245,1470)  (1198,1374)  (1246,1374)  (1246,1422)  (1148,1373)  (1197,1517)  (1149,1517)  (1102,1469)  (1102,1421)  (1293,1470)  (1293,1518)  (1245,1518)  (1101,1518)  (1196,1326)  (1244,1326)  (1292,1326)  (1294,1374)  (1294,1422)  (1100,1373)  (1100,1325)  (1148,1325)  (1054,1470)  (1054,1422)  (1341,1470)  (1341,1518)  (1053,1561)  (1275,1278)  (1052,1374)  (1052,1326)  | overflowToLeft=false
Sinope  (3910,611)  (3957,659)  (3958,589)  (4005,637)  (4053,615)  (4053,663)  (4101,619)  (4101,667)  (4149,594)  (4149,642)  | overflowToLeft=false
Vindonissa  (1764,188)  (1716,235)  (1716,187)  (1811,236)  (1764,140)  (1812,140)  (1812,188)  (1714,139)  (1684,283)  (1668,235)  (1668,187)  (1860,115)  (1860,163)  (1860,211)  (1636,296)  (1620,248)  (1908,185)  | overflowToLeft=false
Odessus  (3303,617)  (3323,665)  (3275,665)  (3269,569)  (3317,569)  (3351,617)  (3262,713)  | overflowToLeft=false
Verona  (1974,326)  (1926,315)  (1987,374)  (1939,374)  (1974,278)  (2022,278)  (2022,326)  (1902,267)  (1996,422)  (2004,230)  (2052,230)  (2070,278)  | overflowToLeft=false
Lucus Augusti  (493,582)  (445,608)  (445,560)  (540,630)  (493,534)  (541,513)  (504,465)  (552,465)  (561,417)  | overflowToLeft=false
Thessalonica  (3157,852)  (3109,877)  (3161,900)  (3173,804)  (3221,788)  (3061,893)  (3205,852)  | overflowToLeft=false
Tyras  (3423,164)  (3375,151)  (3464,212)  (3416,212)  (3423,116)  (3361,103)  (3409,68)  (3313,71)  (3361,55)  (3281,23)  (3265,71)  (3329,7)  (3377,7)  (3233,23)  (3185,42)  | overflowToLeft=false
Tolosa  (1116,489)  (1068,536)  (1163,537)  (1119,441)  (1164,489)  (1167,438)  (1020,565)  (1142,585)  (1215,455)  | overflowToLeft=false
Majar  (4512,146)  (4464,193)  (4464,145)  (4559,194)  (4512,98)  (4560,98)  (4560,146)  (4462,97)  (4416,180)  (4607,194)  (4510,50)  (4558,50)  (4608,75)  (4608,123)  (4414,132)  (4414,84)  (4462,49)  (4655,171)  (4655,219)  (4510,2)  (4558,2)  (4656,79)  (4428,1)  (4703,129)  | overflowToLeft=false
Memphis  (3636,1910)  (3588,1905)  (3683,1958)  (3635,1958)  (3636,1862)  (3684,1862)  (3684,1910)  (3583,1857)  (3719,2006)  (3671,2006)  (3623,2006)  (3631,1814)  (3551,1809)  | overflowToLeft=false
Sparta  (3102,1310)  (3054,1357)  (3121,1358)  (3150,1267)  (3015,1309)  | overflowToLeft=false
Larissa  (3076,1029)  (3106,1077)  (3046,981)  (3094,981)  (3124,1029)  | overflowToLeft=false
Singidinum  (2775,374)  (2727,421)  (2727,373)  (2801,422)  (2775,326)  (2823,326)  (2823,374)  (2725,325)  (2757,277)  | overflowToLeft=false
Genua  (1849,453)  (1801,481)  (1897,446)  (1899,494)  (1753,523)  (1753,475)  (1947,471)  (1947,519)  | overflowToLeft=false
Paliurus  (2992,1803)  (2944,1850)  (2944,1802)  (3039,1851)  (2992,1755)  (3040,1760)  (2896,1883)  (2896,1835)  | overflowToLeft=false
Lilybaeum  (2133,1290)  (2085,1300)  (2085,1252)  (2180,1338)  (2133,1242)  (2181,1248)  (2037,1251)  | overflowToLeft=false
Vindobona  (2568,102)  (2520,149)  (2520,101)  (2615,150)  (2568,54)  (2616,54)  (2616,102)  (2567,197)  (2519,197)  (2472,149)  (2627,198)  (2529,6)  (2577,6)  (2625,6)  (2664,54)  (2664,102)  (2673,0)  (2579,245)  (2712,69)  | overflowToLeft=false
Olisipo  (126,767)  (78,812)  (173,815)  (130,719)  (174,767)  (178,715)  (115,860)  (130,671)  | overflowToLeft=false
Aemona  (2356,284)  (2308,301)  (2308,253)  (2403,332)  (2356,236)  (2404,236)  (2404,284)  (2355,349)  (2451,332)  (2452,246)  | overflowToLeft=false
Brigantium  (309,441)  (261,488)  (261,440)  (356,489)  (309,393)  (357,393)  (357,441)  (259,392)  (213,487)  (307,345)  (355,345)  (405,381)  (405,429)  (405,477)  (211,439)  (237,344)  (453,396)  (453,444)  (501,382)  | overflowToLeft=false
Axiopolis  (3238,449)  (3190,486)  (3190,438)  (3238,401)  (3286,401)  (3286,449)  (3198,353)  (3246,353)  (3294,353)  | overflowToLeft=false
Sirmium  (2613,389)  (2565,436)  (2565,388)  (2649,437)  (2613,341)  (2563,340)  (2661,340)  (2517,392)  (2677,485)  (2629,485)  (2694,533)  | overflowToLeft=false
Damascus  (4255,1512)  (4207,1559)  (4207,1511)  (4288,1560)  (4255,1464)  (4303,1464)  (4303,1512)  (4205,1463)  (4240,1607)  (4192,1607)  (4253,1416)  (4144,1617)  | overflowToLeft=false
Sardica  (2874,524)  (2826,567)  (2826,519)  (2921,572)  (2874,476)  (2922,476)  (2922,524)  (2826,471)  (2778,542)  (2969,572)  (2970,457)  | overflowToLeft=false
Hatra  (4615,1316)  (4567,1348)  (4567,1300)  (4662,1364)  (4615,1268)  (4663,1283)  (4550,1252)  (4519,1357)  (4519,1309)  (4710,1362)  (4598,1220)  (4502,1261)  (4502,1213)  (4550,1204)  (4598,1172)  (4508,1156)  (4556,1124)  | overflowToLeft=false
Sidon  (4134,1475)  (4086,1522)  (4086,1474)  (4134,1427)  (4090,1379)  (4138,1379)  (4134,1523)  | overflowToLeft=false
Edessa  (4425,1142)  (4377,1180)  (4377,1132)  (4457,1190)  (4425,1094)  (4473,1094)  (4366,1084)  (4329,1152)  | overflowToLeft=false
Persepolis  (5289,1836)  (5241,1883)  (5241,1835)  (5336,1884)  (5289,1788)  (5337,1788)  (5337,1836)  (5239,1787)  (5288,1931)  (5193,1902)  (5193,1854)  (5352,1932)  (5191,1806)  (5191,1758)  (5304,1979)  (5145,1867)  (5352,1980)  (5143,1819)  (5143,1771)  (5352,2028)  (5095,1760)  | overflowToLeft=false
Palma  (1158,996)  (1206,985)  | overflowToLeft=false
Gerrha  (4696,2028)  (4648,2052)  (4648,2004)  (4744,2006)  (4623,1956)  (4600,2052)  (4600,2004)  (4792,2029)  (4575,1956)  (4575,1908)  (4552,2052)  (4552,2004)  (4840,2045)  | overflowToLeft=false
Leptis Magna  (2433,1923)  (2385,1970)  (2480,1971)  (2410,1875)  (2458,1875)  (2481,1923)  (2432,2018)  (2384,2018)  (2515,2019)  (2529,1891)  | overflowToLeft=false
Siwa  (2989,2004)  (2941,2051)  (2941,2003)  (3036,2052)  (2989,1956)  (3037,1956)  (3037,2004)  (2939,1955)  (2893,2052)  (2893,2004)  (2891,1956)  | overflowToLeft=false
Carthago Nova  (733,1133)  (685,1150)  (685,1102)  (780,1181)  (733,1085)  (781,1089)  (665,1054)  | overflowToLeft=false
Tingis  (396,1485)  (348,1532)  (348,1484)  (443,1533)  (444,1447)  (346,1436)  (300,1555)  (300,1507)  (491,1495)  (298,1459)  (327,1388)  (539,1464)  | overflowToLeft=false
Cesaraugusta  (910,669)  (862,716)  (862,668)  (944,717)  (910,621)  (958,621)  (958,669)  (860,620)  (878,764)  (830,764)  (908,573)  (1006,618)  (1006,666)  | overflowToLeft=false
Cyrene  (2782,1754)  (2734,1801)  (2734,1753)  (2829,1802)  (2782,1706)  (2830,1706)  (2830,1754)  (2732,1705)  (2781,1849)  (2733,1849)  (2686,1801)  (2686,1753)  (2685,1850)  (2878,1672)  (2878,1720)  | overflowToLeft=false
Volubilis  (574,1760)  (526,1796)  (526,1748)  (601,1712)  (622,1760)  (649,1694)  (478,1796)  (670,1742)  (670,1790)  (430,1796)  | overflowToLeft=false
Auzia  (891,1709)  (843,1756)  (843,1708)  (938,1757)  (891,1661)  (939,1661)  (939,1709)  (841,1660)  (795,1796)  (795,1748)  (986,1757)  (987,1618)  (987,1666)  (793,1700)  (747,1796)  (747,1748)  (1034,1714)  (1034,1762)  (1035,1609)  (1035,1657)  (745,1700)  | overflowToLeft=false
Narbo  (1317,554)  (1269,601)  (1269,553)  (1321,602)  (1317,506)  (1365,506)  (1365,554)  (1267,505)  (1273,649)  (1221,635)  (1221,587)  (1413,531)  | overflowToLeft=false
Sinda  (4063,165)  (4015,205)  (4015,157)  (4092,117)  (4111,165)  (4006,109)  (4140,88)  (3967,203)  (4159,136)  (4159,184)  (4188,65)  (4207,113)  (4207,161)  (4255,94)  (4255,142)  (4255,190)  (4303,110)  (4303,158)  | overflowToLeft=false
Albana  (4890,486)  (4842,533)  (4842,485)  (4937,534)  (4890,438)  (4938,438)  (4938,486)  (4840,437)  (4889,581)  (4985,534)  (4985,582)  (4937,582)  (4888,390)  (4821,389)  (5033,581)  (5033,629)  (4985,630)  (4937,630)  (4869,342)  (4818,341)  (4917,329)  (5017,678)  (4866,294)  (4814,293)  (4766,266)  (4814,245)  (4735,218)  (4783,197)  (4831,197)  | overflowToLeft=false
Siga  (654,1539)  (606,1586)  (606,1538)  (701,1587)  (654,1491)  (702,1491)  (702,1539)  (604,1490)  (653,1634)  (605,1634)  (558,1586)  (557,1635)  (692,1443)  (510,1587)  (535,1683)  (509,1635)  (737,1395)  (487,1701)  (461,1653)  (461,1605)  (439,1726)  | overflowToLeft=false
Cirta  (1195,1686)  (1147,1733)  (1147,1685)  (1242,1734)  (1195,1638)  (1243,1638)  (1243,1686)  (1145,1637)  (1194,1781)  (1146,1781)  (1099,1733)  (1099,1685)  (1290,1734)  (1279,1782)  (1098,1782)  (1291,1605)  (1291,1653)  (1339,1597)  | overflowToLeft=false
Emerita Augusta  (223,921)  (175,968)  (175,920)  (261,969)  (271,910)  (127,971)  (127,923)  (79,902)  | overflowToLeft=false
Petra  (4092,1893)  (4044,1940)  (4044,1892)  (4092,1845)  (4140,1845)  (4140,1893)  (4042,1844)  (4188,1830)  (4188,1878)  (4215,1926)  (4236,1835)  (4263,1883)  | overflowToLeft=false
Pityus  (4237,291)  (4189,283)  (4237,243)  (4285,243)  (4285,291)  (4308,339)  (4141,256)  (4333,227)  (4333,275)  (4356,323)  (4381,221)  (4381,269)  (4404,317)  (4429,246)  (4452,294)  | overflowToLeft=false
